win,diff
1,55.42280229
1,17.33378712
1,20.77543291
1,42.06295379
1,15.25045372
1,23.56547624
0,8.98674243
1,30.59690939
0,15.4431819
0,9.85416666
1,14.46527777
0,4.61111111
1,5.79166667
1,2.2125
1,0.62916667
1,23.79312356
1,18.54053031
1,39.4919872
1,20.375
1,2.84166667
1,16.32803031
1,40.12115387
0,42.33365387
1,15.69886364
1,14.4375
1,35.44166667
0,1.26136364
0,4.6794872
1,15.06666667
1,34.8125
1,25.0544872
1,19.11363636
1,4.6794872
1,4.6794872
1,5.06621291
0,11.81621291
1,10.22454625
0,6.75
1,33.65
1,13.80416666
1,9.35371291
1,36.25371291
1,25.39166667
1,15.52454625
1,24.8375
1,13.80416666
1,43.00371291
1,2.60371291
0,0.55416667
1,6.75
1,33.65
1,29.32871291
1,10.22454625
1,5.73333334
1,5.85416667
1,11.52916667
0,8.31666667
1,5.79583333
0,2.4625
1,8.73409091
1,37.85909093
1,29.12500002
1,29.12500002
1,10.5416666
1,4.14159174
1,51.33068179
0,32.35714567
1,51.33068179
1,10.5416666
1,36.64742345
1,40.78901519
1,10.95600931
1,21.40113636
1,47.04040401
1,15.24628709
1,14.68325834
1,36.49873741
1,4.14159174
1,36.0843947
1,25.5427281
1,4.29027778
1,5.9
1,8.29861111
0,17.31250002
1,24.125
1,9.92083334
1,1.72916667
1,2.56666667
1,7.31666667
0,22.77083334
1,6.25
0,6.65277778
1,19.14482606
1,33.38649272
1,16.87083334
1,17.06527778
1,16.80833333
1,23.72083334
1,19.7375
1,9.83611111
1,9.27777778
1,8.38194445
1,35.95315939
1,29.62083334
1,1.5375
1,27.14861113
0,3.03333334
0,0.40416666
0,9.03194445
1,9.27083334
1,43.26982606
1,7.22916667
1,17.275
1,22.30416667
1,6.85
1,15.52777778
1,28.1277778
1,19.54899272
1,14.24166666
1,13.49305556
1,16.40416667
1,9.88333334
1,36.41982606
1,18.85000002
1,5.49583334
1,10.81527778
1,34.3777778
1,0.97916667
1,4.22222222
1,0.46666667
0,13.64899272
1,13.8375
1,4.7125
1,3.99027777
0,4.0135073
1,12.30555556
0,0.35
1,13.29899272
1,3.57222222
1,17.66250002
0,13.64899272
1,9.03194445
1,23.91666666
0,13.42833412
0,6.425
1,13.71906566
0,0.29073154
1,7.00333412
1,6.71573154
1,6.71573154
1,37.80522803
0,24.37689391
1,13.42833412
1,24.37689391
1,24.37689391
1,9.16666667
1,25.79166664
1,6.26812774
1,10.20562774
1,15.5860389
1,4.18479434
1,17.9375
1,12.75562767
1,8.77083333
0,3.588961
1,3.9375
0,2.95833333
1,5.6125
0,0.0597944
0,0.97916667
1,41.41666663
0,16.95833333
1,9.27651515
0,3.16666666
1,39.66666667
1,42.83333333
1,38.24999997
1,1.4166667
1,7.68181818
0,11.375
1,26.91666663
0,9.9583333
1,20.60984849
1,28.33333333
