High Tech B,0,0,0,0,0,0,0,4,0,0,1,1,2,2,1,10,1,3,0,1,3,12,3,11,8,17,14,15,3,10,18,24,14,15,15,23,10,22,26,21,18,29,23,23,23,19,22,15,13,21,21,25,17,20,16,17,18,21,19,12,20,19,19,8,18,18,11,3,17,12,5,8,23,13,10,6,13,11,3,6,7,6,4,5,4,4,5,3,6,0,1,1,4,3,1,1
Midtown Classical A,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,0,5,1,2,3,4,5,6,4,15,17,9,10,8,15,17,13,14,23,22,20,20,16,21,28,25,22,23,18,21,30,17,19,22,22,22,13,24,20,21,27,28,20,11,24,27,11,9,14,17,11,6,18,6,6,3,12,13,8,10,11,11,8,6,9,8,4,0,8,3,4,2,5,1,0,1,2,2,0,0
Greens Farms A,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,8,0,0,1,2,2,7,4,7,10,18,12,22,8,11,8,25,7,16,20,29,21,19,25,25,14,40,31,25,39,25,29,25,8,13,26,11,24,21,22,17,18,20,17,12,16,18,7,10,17,15,9,4,9,6,7,3,8,16,12,10,10,9,6,5,4,6,6,5,3,3,5,3,3,7,1,1,0,3,2,2
Barrington A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,2,2,1,0,2,3,8,0,10,5,13,2,11,10,25,11,27,17,34,2,4,10,15,9,8,16,28,9,17,27,35,13,23,31,48,31,36,51,47,39,54,62,54,15,22,31,38,31,35,41,58,36,41,57,46,46,54,44,46,65,63,58,63,57,65,56,71
Glasgow A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,3,1,7,2,3,3,8,9,14,2,6,11,12,8,10,16,16,10,21,20,14,15,22,20,20,27,17,21,28,15,23,24,22,27,20,20,14,21,14,14,19,21,17,15,13,19,16,11,14,31,11,11,5,23,16,21,12,19,10,10,8,10,6,11,7,18,8,4,3,5,3,3,3,4,1,2,1
Arcadia A,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,0,1,0,1,1,2,4,8,4,7,15,15,3,4,13,16,6,12,12,17,12,14,22,19,19,21,17,21,20,24,19,23,11,18,31,18,18,26,18,28,12,25,23,12,21,24,18,15,22,21,10,9,13,12,10,5,19,24,10,11,16,13,11,7,13,3,15,5,9,8,4,6,5,6,2,1,3,1,2,3
Phillips Academy A,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,3,7,3,4,6,6,8,5,17,0,2,9,13,4,10,15,14,18,10,16,20,16,20,23,22,24,23,15,24,19,23,20,26,19,23,19,16,27,29,18,17,30,15,15,7,31,18,11,9,8,11,8,12,23,12,13,13,13,18,13,6,13,15,8,4,8,9,3,2,9,8,3,1,6,4,1,1
GPS A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,3,3,6,10,7,13,9,2,9,8,18,3,9,15,24,12,20,18,20,15,20,24,22,19,12,16,14,7,20,17,19,16,25,22,30,19,27,15,13,25,19,27,14,17,24,14,16,22,17,12,2,20,17,9,6,20,12,6,8,17,10,11,4,13,5,10,5,6,5,5,3,6,1,1,2
McLean A,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0,0,2,3,2,3,0,4,7,8,9,15,0,6,4,11,9,7,18,21,9,11,16,20,12,18,14,20,19,14,28,11,12,15,16,29,21,22,22,23,17,26,18,18,29,24,17,19,15,14,18,10,24,14,11,8,12,17,19,16,18,17,7,5,21,9,5,7,14,12,4,7,11,5,4,6,3,4,4,2
Harker A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,1,2,2,7,1,2,3,8,6,10,2,8,5,5,4,10,5,20,10,14,12,19,11,18,11,24,15,18,15,14,10,13,20,25,15,19,30,30,23,26,18,18,28,29,17,16,21,26,15,15,16,14,13,6,15,20,14,11,17,14,12,12,22,11,9,3,10,11,12,3,10,9,4,9,10,4,3,0
Altamont A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,2,1,0,4,4,5,5,4,16,1,4,10,12,6,7,11,16,15,11,11,17,15,13,16,19,17,19,20,13,8,22,17,19,14,19,17,18,29,20,29,24,23,18,22,18,16,26,21,20,24,20,17,15,14,14,14,11,10,19,12,10,14,15,5,11,10,11,4,2,13,8,7,4,6,4,5,0
Fremd A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,2,1,2,3,10,3,8,9,16,4,3,9,7,3,6,12,15,10,19,15,19,10,13,24,13,22,21,24,18,15,25,9,25,16,24,19,28,15,25,19,13,20,15,20,19,17,13,20,17,22,19,10,8,17,14,14,13,12,16,16,7,10,20,14,7,9,14,7,4,11,6,7,6,6,5,2,2
Singapore American A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,2,3,3,4,7,8,12,0,6,8,13,3,9,7,14,7,10,23,19,12,14,9,18,19,17,24,8,8,17,19,23,24,27,18,15,22,20,16,14,32,26,19,17,26,19,18,15,14,20,12,16,30,25,19,7,14,15,17,14,11,11,5,10,18,5,6,3,7,9,8,3,10,3,2,4
Mission San Jose A,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,4,2,0,1,1,6,4,7,9,15,1,5,7,7,8,7,10,12,7,8,14,18,14,15,20,23,17,19,16,16,8,22,17,18,14,15,27,34,15,17,21,17,21,28,22,19,18,23,11,13,19,20,10,7,29,16,22,11,16,25,13,9,23,10,8,8,7,11,8,5,10,4,4,7,5,3,7,0
Thomas Jefferson C,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,2,2,0,4,2,3,3,6,8,15,1,4,2,4,2,13,3,15,6,8,17,24,16,12,17,19,12,15,18,14,9,13,15,19,18,20,21,22,21,33,25,19,22,18,20,25,17,25,24,7,17,17,12,14,17,20,16,21,16,20,12,7,15,14,10,4,13,11,11,7,7,10,10,9,7,8,4,4
Davis A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,5,8,8,11,2,2,5,6,0,6,8,20,5,12,13,19,17,14,21,19,10,20,16,17,9,12,15,16,14,14,23,18,22,26,28,17,21,19,29,17,22,16,18,15,19,15,17,11,19,18,28,24,15,18,20,11,13,6,12,13,17,15,10,6,9,9,8,5,8,7,2,1
Boston Latin A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,4,6,3,10,1,6,3,9,5,4,5,12,3,5,20,11,9,15,16,20,14,19,19,21,7,9,12,25,20,14,18,17,23,11,10,28,21,17,26,13,15,21,27,21,16,18,9,10,23,16,20,18,15,16,19,5,17,12,17,10,22,16,13,8,15,12,12,5,16,19,10,7
