win,diff
0,2.42
1,-1.57
0,1.57
0,1.57
1,2.73
1,2.73
0,-2.73
1,-1.32
0,1.32
0,1.32
1,0.73
1,0.73
0,-0.73
1,0.96
1,0.96
0,-0.96
1,-1.77
0,1.77
0,1.77
1,-1.75
0,1.75
0,1.75
1,-1.64
0,1.64
0,1.64
1,0.57
1,0.57
0,-0.57
1,0.19
1,0.19
0,-0.19
1,1.46
1,1.46
0,-1.46
1,1.01
1,1.01
0,-1.01
1,0.4
1,0.4
0,-0.4
1,0.64
1,0.64
0,-0.64
1,1.27
1,1.27
0,-1.27
1,2.05
1,2.05
0,-2.05
1,-0.54
0,0.54
0,0.54
1,0.74
1,0.74
0,-0.74
1,-1.43
0,1.43
0,1.43
1,-1.23
0,1.23
0,1.23
1,-1.24
0,1.24
0,1.24
1,3.48
1,3.48
0,-3.48
1,0.92
1,0.92
0,-0.92
1,-5.01
0,5.01
0,5.01
1,-0.61
0,0.61
0,0.61
1,-1.58
0,1.58
0,1.58
1,0.28
1,0.28
0,-0.28
1,1.43
1,1.43
0,-1.43
1,-0.41
0,0.41
0,0.41
1,0.77
1,0.77
0,-0.77
1,-0.33
0,0.33
0,0.33
1,-0.02
0,0.02
0,0.02
1,-1.85
0,1.85
0,1.85
1,1.51
1,1.51
0,-1.51
1,3.56
1,3.56
0,-3.56
1,-0.49
0,0.49
0,0.49
1,1.65
1,1.65
0,-1.65
1,4.33
1,4.33
0,-4.33
1,0.85
1,0.85
0,-0.85
1,1.04
1,1.04
0,-1.04
1,1.49
1,1.49
0,-1.49
1,-1.9
0,1.9
0,1.9
1,0.94
1,0.94
0,-0.94
1,-0.03
0,0.03
0,0.03
1,-1.45
0,1.45
0,1.45
1,0.3
1,0.3
0,-0.3
1,1.44
1,1.44
0,-1.44
1,0.26
1,0.26
0,-0.26
1,2.35
1,2.35
0,-2.35
1,-0.54
0,0.54
0,0.54
1,-0.73
0,0.73
0,0.73
1,0.38
1,0.38
0,-0.38
1,2.64
1,2.64
0,-2.64
1,1.93
1,1.93
0,-1.93
1,-1.04
0,1.04
0,1.04
1,-1.77
0,1.77
0,1.77
1,0.98
1,0.98
0,-0.98
1,1.16
1,1.16
0,-1.16
1,1.58
1,1.58
0,-1.58
1,0.66
1,0.66
0,-0.66
1,-1.18
0,1.18
0,1.18
1,0.63
1,0.63
0,-0.63
1,-1.32
0,1.32
0,1.32
1,2.43
1,2.43
0,-2.43
1,-2.74
0,2.74
0,2.74
1,0.19
1,0.19
0,-0.19
1,0.9
1,0.9
0,-0.9
1,1.55
1,1.55
0,-1.55
1,-0.38
0,0.38
0,0.38
1,1.96
1,1.96
0,-1.96
1,2.18
1,2.18
0,-2.18
1,0.92
1,0.92
0,-0.92
1,0.73
1,0.73
0,-0.73
1,0.12
1,0.12
0,-0.12
1,1.09
1,1.09
0,-1.09
1,1.09
1,1.09
0,-1.09
1,1.38
1,1.38
0,-1.38
1,-2.45
0,2.45
0,2.45
1,-2.46
0,2.46
0,2.46
1,-1.55
0,1.55
0,1.55
1,-0.67
0,0.67
0,0.67
1,1.03
1,1.03
0,-1.03
1,1.73
1,1.73
0,-1.73
1,0.02
1,0.02
0,-0.02
1,-0.64
0,0.64
0,0.64
1,-0.15
0,0.15
0,0.15
1,-0.26
0,0.26
0,0.26
1,2.81
1,2.81
0,-2.81
1,0.08
1,0.08
0,-0.08
1,1.08
1,1.08
0,-1.08
1,3.22
1,3.22
0,-3.22
1,2.83
1,2.83
0,-2.83
1,-2.24
0,2.24
0,2.24
1,-0.36
0,0.36
0,0.36
1,4.16
